DI3,DI2,DI1,DI0,DATA_TYPE,LENGTH,unit,SB_type,data_des
1,6,1…3F,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,03,(上1结算日)第二象限无功费率...最大需量及发生时间
1,6,FF,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)第二象限无功最大需量及发生时间数据块
1,7,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)第三象限无功总最大需量及发生时间
1,7,1…3F,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,03,(上1结算日)第三象限无功费率...最大需量及发生时间
1,7,FF,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)第三象限无功最大需量及发生时间数据块
1,8,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)第四象限无功总最大需量及发生时间
1,8,1…3F,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,03,(上1结算日)第四象限无功费率1最大需量及发生时间
1,8,FF,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)第四象限无功最大需量及发生时间数据块
1,9,0,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)正向视在总最大需量及发生时间
1,9,1…3F,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,03,(上1结算日)正向视在费率...最大需量及发生时间
1,9,FF,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)正向视在最大需量及发生时间数据块
1,0A,0,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)反向视在总最大需量及发生时间
1,0A,1…3F,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,03,(上1结算日)反向视在费率...最大需量及发生时间
1,0A,FF,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)反向视在最大需量及发生时间数据块
1,15,0,1,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上1结算日)A相正向有功最大需量及发生时间
1,16,0,1,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上1结算日)A相反向有功最大需量及发生时间
1,17,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)A相组合无功1最大需量及发生时间
1,18,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)A相组合无功2最大需量及发生时间
1,19,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)A相第一象限无功最大需量及发生时间
1,1A,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)A相第二象限无功最大需量及发生时间
1,1B,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)A相第三象限无功最大需量及发生时间
1,1C,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)A相第四象限无功最大需量及发生时间
1,1D,0,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)A相正向视在最大需量及发生时间
1,1E,0,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)A相反向视在最大需量及发生时间
1,29,0,1,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上1结算日)B相正向有功最大需量及发生时间
1,2A,0,1,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上1结算日)B相反向有功最大需量及发生时间
1,2B,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)B相组合无功1最大需量及发生时间
1,2C,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)B相组合无功2最大需量及发生时间
1,2D,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)B相第一象限无功最大需量及发生时间
1,2E,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)B相第二象限无功最大需量及发生时间
1,2F,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)B相第三象限无功最大需量及发生时间
1,30,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)B相第四象限无功最大需量及发生时间
1,31,0,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)B相正向视在最大需量及发生时间
1,32,0,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)B相反向视在最大需量及发生时间
1,3D,0,1,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上1结算日)C相正向有功最大需量及发生时间
1,3E,0,1,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上1结算日)C相反向有功最大需量及发生时间
1,3F,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)C相组合无功1最大需量及发生时间
1,40,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)C相组合无功2最大需量及发生时间
1,41,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)C相第一象限无功最大需量及发生时间
1,42,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)C相第二象限无功最大需量及发生时间
1,43,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)C相第三象限无功最大需量及发生时间
1,44,0,1,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上1结算日)C相第四象限无功最大需量及发生时间
1,45,0,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)C相正向视在最大需量及发生时间
1,46,0,1,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上1结算日)C相反向视在最大需量及发生时间
1,1,0,0C,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上12结算日)正向有功总最大需量及发生时间
1,1,1…3F,0C,XX.XXXX YYMMDDhhmm,,kW year_date,03,(上12结算日)正向有功费率..最大需量及发生时间
1,1,FF,0C,XX.XXXX YYMMDDhhmm,,kW year_date,00,(上12结算日)正向有功最大需量及发生时间数据块
1,2,0,0C,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上12结算日)反向有功总最大需量及发生时间
1,2,1…3F,0C,XX.XXXX YYMMDDhhmm,,kW year_date,03,(上12结算日)反向有功费率...最大需量及发生时间
1,2,FF,0C,XX.XXXX YYMMDDhhmm,,kW year_date,00,(上12结算日)反向有功最大需量及发生时间数据块
1,3,0,0C,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上12结算日)组合无功1总最大需量及发生时间
1,3,1…3F,0C,XX.XXXX YYMMDDhhmm,,kW year_date,03,(上12结算日)组合无功1费率...最大需量及发生时间
1,3,FF,0C,XX.XXXX YYMMDDhhmm,,kW year_date,00,(上12结算日)组合无功1最大需量及发生时间数据块
1,4,0,0C,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上12结算日)组合无功2总最大需量及发生时间
1,4,1…3F,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,03,(上12结算日)组合无功2费率...最大需量及发生时间
1,4,FF,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)组合无功2最大需量及发生时间数据块
1,5,0,0C,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上12结算日)第一象限无功总最大需量及发生时间
1,5,1…3F,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,03,(上12结算日)第一象限无功费率...最大需量及发生时间
1,5,FF,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)第一象限无功最大需量及发生时间数据块
1,6,0,0C,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上12结算日)第二象限无功总最大需量及发生时间
1,6,1…3F,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,03,(上12结算日)第二象限无功费率...最大需量及发生时间
1,6,FF,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)第二象限无功最大需量及发生时间数据块
1,7,0,0C,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上12结算日)第三象限无功总最大需量及发生时间
1,7,1…3F,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,03,(上12结算日)第三象限无功费率...最大需量及发生时间
1,7,FF,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)第三象限无功最大需量及发生时间数据块
1,8,0,0C,XX.XXXX YYMMDDhhmm,8,kvar year_date,00,(上12结算日)第四象限无功总最大需量及发生时间
1,8,1…3F,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,03,(上12结算日)第四象限无功费率...最大需量及发生时间
1,8,FF,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)第四象限无功最大需量及发生时间数据块
1,9,0,0C,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上12结算日)正向视在总最大需量及发生时间
1,9,1…3F,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,03,(上12结算日)正向视在费率...最大需量及发生时间
1,9,FF,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,00,(上12结算日)正向视在最大需量及发生时间数据块
1,0A,0,0C,XX.XXXX YYMMDDhhmm,8,kVA year_date,00,(上12结算日)反向视在总最大需量及发生时间
1,0A,1…3F,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,03,(上12结算日)反向视在费率...最大需量及发生时间
1,0A,FF,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,00,(上12结算日)反向视在最大需量及发生时间数据块
1,15,0,0C,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上12结算日)A相正向有功最大需量及发生时间
1,16,0,0C,XX.XXXX YYMMDDhhmm,,kW year_date,00,(上12结算日)A相反向有功最大需量及发生时间
1,17,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)A相组合无功1最大需量及发生时间
1,18,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)A相组合无功2最大需量及发生时间
1,19,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)A相第一象限无功最大需量及发生时间
1,1A,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)A相第二象限无功最大需量及发生时间
1,1B,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)A相第三象限无功最大需量及发生时间
1,1C,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)A相第四象限无功最大需量及发生时间
1,1D,0,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,00,(上12结算日)A相正向视在最大需量及发生时间
1,1E,0,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,00,(上12结算日)A相反向视在最大需量及发生时间
1,29,0,0C,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上12结算日)B相正向有功最大需量及发生时间
1,2A,0,0C,XX.XXXX YYMMDDhhmm,,kW year_date,00,(上12结算日)B相反向有功最大需量及发生时间
1,2B,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)B相组合无功1最大需量及发生时间
1,2C,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)B相组合无功2最大需量及发生时间
1,2D,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)B相第一象限无功最大需量及发生时间
1,2E,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)B相第二象限无功最大需量及发生时间
1,2F,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)B相第三象限无功最大需量及发生时间
1,30,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)B相第四象限无功最大需量及发生时间
1,31,0,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,00,(上12结算日)B相正向视在最大需量及发生时间
1,32,0,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,00,(上12结算日)B相反向视在最大需量及发生时间
1,3D,0,0C,XX.XXXX YYMMDDhhmm,8,kW year_date,00,(上12结算日)C相正向有功最大需量及发生时间
1,3E,0,0C,XX.XXXX YYMMDDhhmm,,kW year_date,00,(上12结算日)C相反向有功最大需量及发生时间
1,3F,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)C相组合无功1最大需量及发生时间
1,40,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)C相组合无功2最大需量及发生时间
1,41,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)C相第一象限无功最大需量及发生时间
1,42,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)C相第二象限无功最大需量及发生时间
1,43,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)C相第三象限无功最大需量及发生时间
1,44,0,0C,XX.XXXX YYMMDDhhmm,,kvar year_date,00,(上12结算日)C相第四象限无功最大需量及发生时间
1,45,0,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,00,(上12结算日)C相正向视在最大需量及发生时间
1,46,0,0C,XX.XXXX YYMMDDhhmm,,kVA year_date,00,(上12结算日)C相反向视在最大需量及发生时间
1,ZZ,ZZ,FF,YYMMDDhhmm,8×13,,*,某项当前和12个结算日最大需量及发生时间数据块
